name,date,time,location
North Carolina Symphony Young People's Concert: Peter & the Wolf,6-Apr-24,1:00PM-6:00PM,"35.77175419933542, -78.64007003214522"
Bailen,12-Apr-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
Ravel & Rodrigo with the North Carolina Symphony,"April 12, 2024 - April 13, 2024",8:00PM-9:30PM,"35.77175419933542, -78.64007003214522"
"Tell Me Lies: A Tribute To Fleetwood Mac	",12-Apr-24,9:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
2024 PrideLife Expo,13-Apr-24,9:00AM-3:00PM,"35.77406011132276, -78.64102760145353"
2024 Down Home Concerts: Bella White,15-Apr-24,7:30PM-10:00PM,"35.77153538522583, -78.6388689321453"
Small Crush,16-Apr-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
"A Thousand Horses	",18-Apr-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Into The Woods,"4/18/2024, 4/19/2024, 4/20/2024, 4/25/2024, 4/26/2024, 4/27/2024",7:30PM-9:30PM,"35.784759091951976, -78.66261915345817"
Into The Woods,"4/21/2024, 4/28/2024",3:00PM-5:00PM,"35.784759091951976, -78.66261915345817"
Post Sex Nachos,18-Apr-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
Dustin Lynch - Killed the Cowboy Tour,19-Apr-24,8:00PM-12:00AM,"35.774028820713575, -78.6431672898181"
14th Annual North Carolina 'Cuegrass Festival,20-Apr-24,12:00PM-6:00PM,"35.7760845693601, -78.64477811865443"
RENT,"4/20/2024, 4/23/2024, 4/24/2024, 4/25/2024, 4/26/2024, 4/27/2024",6:30PM-10:00PM,"35.77153538522583, -78.6388689321453"
RENT,"4/21/2024, 4/28/2024",5:30PM-9:00PM,"35.77153538522583, -78.6388689321453"
RENT,"4/21/2024, 4/28/2024",12:00PM-3:30PM,"35.77153538522583, -78.6388689321453"
RENT,4/27/24,1:00PM-4:30PM,"35.77153538522583, -78.6388689321453"
Tar Heel Troubadours: Fireside Collective,20-Apr-24,6:30PM-9:00PM,"35.781957758980234, -78.63839170330847"
Safari Room,21-Apr-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
The Girl of the Golden West - NC Opera,21-Apr-24,2:00PM-4:00PM,"35.77153538522583, -78.6388689321453"
Carolina Ballet presents: Rachmaninoff: Piano Concerto No. 2,"4/25/2024, 4/26/2024, 4/27/2024",2:00PM-4:00PM,"35.77153538522583, -78.6388689321453"
Carolina Ballet presents: Rachmaninoff: Piano Concerto No. 2,"4/27/2024, 4/28/2024",7:30PM-9:30PM,"35.77153538522583, -78.6388689321453"
Jameson Tank,25-Apr-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
An Evening with Ween,26-Apr-24,8:00PM-12:00AM,"35.774028820713575, -78.6431672898181"
Brewgaloo,"4/26/2024, 4/27/2024",12:00PM-8:00PM,"35.772279107970945, -78.63952902159276"
Mendelssohn Violin Concerto with the North Carolina Symphony,"4/26/2024, 4/27/2024",8:00PM-10:00PM,"35.77175419933542, -78.64007003214522"
Flight Attendant,28-Apr-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
"Alexz Johnson	",30-Apr-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Queens of the Stone Age,"5/2/2024, 5/24/2024",6:30PM-10:30PM,"35.774028820713575, -78.6431672898181"
The Bygones,2-May-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
“Star Wars: Return of the Jedi” In Concert with the North Carolina Symphony,5/2/24,7:30PM-9:00PM,"35.77175419933542, -78.64007003214522"
“Star Wars: Return of the Jedi” In Concert with the North Carolina Symphony,"5/3/24, 5/4/24",8:00PM-9:30PM,"35.77175419933542, -78.64007003214522"
2024 Down Home Concerts: Red Clay Ramblers 50th Anniversary,3-May-24,7:30PM-10:00PM,"35.77153538522583, -78.6388689321453"
NC Master Chorale: Sunrise Mass,3-May-24,7:30PM-8:30PM,"35.77770378663727, -78.6700983051637"
Maiden Voyage: Iron Maiden Tribute,4-May-24,9:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
"35.791472226839716, -78.66819013214453 presents: Looking for Roberto Clementine","5/4/2024, 5/5/2024, 5/11/2024, 5/12/2024",1:00PM-6:00PM,"35.791472226839716, -78.66819013214453"
Cinco de Mayo,5-May-24,12:00PM-7:00PM,"35.7769138278569, -78.63584015491939"
Johnny Manchild & The Poor Bastards,6-May-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Sum 41 - Tour of the Setting Sum!,9-May-24,6:30PM-10:30PM,"35.774028820713575, -78.6431672898181"
Bumpin Uglies,10-May-24,8:00PM-12:00AM,"35.77738888329628, -78.63671574378054"
Chase Rice - Get Western 2024 Tour,10-May-24,7:00PM-11:00PM,"35.774028820713575, -78.6431672898181"
Prokofiev Romeo & Juliet with the North Carolina Symphony,"5/10/2024, 5/11/2024",8:00PM-9:30PM,"35.77175419933542, -78.64007003214522"
Gustaf,19-May-24,8:00PM-10:00PM,"35.77729396216962, -78.63983333214505"
Animazement,5/24/24,9:00AM-2:00AM,"35.77406011132276, -78.64102760145353"
Animazement,5/25/24,9:00AM-2:00AM,"35.77406011132276, -78.64102760145353"
Animazement,5/26/24,9:00AM-5:00PM,"35.77406011132276, -78.64102760145353"
NC Sugar Rush,26-May-24,12:00PM-6:00PM,"35.77431754141296, -78.63917587447236"
